"","x"
"457",2012
"458",2014
"459",2016
"460",2018
"461",2020
"462",2022
"463",2024
"464",2026
"465",2028
"466",2030
"467",2032
"468",2034
"469",2036
"470",2038
"471",2040
"472",2042
"473",2044
"474",2046
"475",2048
"476",2050
"477",2052
"478",2054
"479",2056
"480",2058
"481",2060
"482",2062
"483",2064
"484",2066
"485",2068
"486",2070
"487",2072
"488",2074
"489",2076
"490",2078
"491",2080
"492",2082
"493",2084
"494",2086
"495",2088
"496",2090
"497",2092
"498",2094
"499",2096
"500",2098
"501",2100
"502",2102
"503",2104
"504",2106
"505",2108
"506",2110
"507",2112
"508",2114
"509",2116
"510",2118
"511",2120
"512",2122
"513",2124
"514",2126
"515",2128
"516",2130
"517",2132
"518",2134
"519",2136
"520",2138
"521",2140
"522",2142
"523",2144
"524",2146
"525",2148
"526",2150
"527",2152
"528",2154
"529",2156
"530",2158
"531",2160
"532",2162
"533",2164
"534",2166
"535",2168
"536",2170
"537",2172
"538",2174
"539",2176
"540",2178
"541",2180
"542",2182
"543",2184
"544",2186
"545",2188
"546",2190
"547",2192
"548",2194
"549",2196
"550",2198
"551",2200
"552",2202
"553",2204
"554",2206
"555",2208
"556",2210
"557",2212
"558",2214
"559",2216
"560",2218
"561",2220
"562",2222
"563",2224
"564",2226
"565",2228
"566",2230
"567",2232
"568",2234
"569",2236
"570",2238
"571",2240
"572",2242
"573",2244
"574",2246
"575",2248
"576",2250
"577",2252
"578",2254
"579",2256
"580",2258
"581",2260
"582",2262
"583",2264
"584",2266
"585",2268
"586",2270
"587",2272
"588",2274
"589",2276
"590",2278
"591",2280
"592",2282
"593",2284
"594",2286
"595",2288
"596",2290
"597",2292
"598",2294
"599",2296
"600",2298
"601",2300
"602",2302
"603",2304
"604",2306
"605",2308
"606",2310
"607",2312
"608",2314
"609",2316
"610",2318
"611",2320
"612",2322
"613",2324
"614",2326
"615",2328
"616",2330
"617",2332
"618",2334
"619",2336
"620",2338
"621",2340
"622",2342
"623",2344
"624",2346
"625",2348
"626",2350
"627",2352
"628",2354
"629",2356
"630",2358
"631",2360
"632",2362
"633",2364
"634",2366
"635",2368
"636",2370
"637",2372
"638",2374
"639",2376
"640",2378
"641",2380
"642",2382
"643",2384
"644",2386
"645",2388
"646",2390
"647",2392
"648",2394
"649",2396
"650",2398
"651",2400
"652",2402
"653",2404
"654",2406
"655",2408
"656",2410
"657",2412
"658",2414
"659",2416
"660",2418
"661",2420
"662",2422
"663",2424
"664",2426
"665",2428
"666",2430
"667",2432
"668",2434
"669",2436
"670",2438
"671",2440
"672",2442
"673",2444
"674",2446
"675",2448
"676",2450
"677",2452
"678",2454
"679",2456
"680",2458
"681",2460
"682",2462
"683",2464
"684",2466
"685",2468
"686",2470
"687",2472
"688",2474
"689",2476
"690",2478
"691",2480
"692",2482
"693",2484
"694",2486
"695",2488
"696",2490
"697",2492
"698",2494
"699",2496
"700",2498
